Accession,Title,Sample Type,Taxonomy,Channels,Platform,Series,Supplementary Types,Supplementary Links,SRA Accession,Contact,Release Date
GSM2170874,"lb1_G8","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782476",SRX1782476,"Gray Camp","Feb 08, 2017"
GSM2170875,"lb1_H1","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782477",SRX1782477,"Gray Camp","Feb 08, 2017"
GSM2170876,"lb1_H2","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782478",SRX1782478,"Gray Camp","Feb 08, 2017"
GSM2170877,"lb1_H3","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782479",SRX1782479,"Gray Camp","Feb 08, 2017"
GSM2170878,"lb1_H8","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782480",SRX1782480,"Gray Camp","Feb 08, 2017"
GSM2170879,"lb2_A10","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782481",SRX1782481,"Gray Camp","Feb 08, 2017"
GSM2170880,"lb2_A4","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782482",SRX1782482,"Gray Camp","Feb 08, 2017"
GSM2170881,"lb2_A6","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782483",SRX1782483,"Gray Camp","Feb 08, 2017"
GSM2170882,"lb2_A7","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782484",SRX1782484,"Gray Camp","Feb 08, 2017"
GSM2170883,"lb2_B11","SRA","Homo sapiens",1,GPL16791,GSE81252,"SRA Run Selector","https://www.ncbi.nlm.nih.gov/Traces/study/?acc=SRX1782485",SRX1782485,"Gray Camp","Feb 08, 2017"
